Advisory,Advisory ID,Published Date
iOS 17.4 and iPadOS 17.4,"iPhone XS and later, iPad Pro 12.9-inch 2nd generation and later, iPad Pro 10.5-inch, iPad Pro 11-inch 1st generation and later, iPad Air 3rd generation and later, iPad 6th generation and later, and iPad mini 5th generation and later",05 Mar 2024
iOS 16.7.6 and iPadOS 16.7.6,"iPhone 8, iPhone 8 Plus, iPhone X, iPad 5th generation, iPad Pro 9.7-inch, and iPad Pro 12.9-inch 1st generation",05 Mar 2024
iOS 15.8.2 and iPadOS 15.8.2This update has no published CVE entries.,"iPhone 6s (all models), iPhone 7 (all models), iPhone SE (1st generation), iPad Air 2, iPad mini (4th generation), and iPod touch (7th generation)",05 Mar 2024
visionOS 1.0.3This update has no published CVE entries.,Apple Vision Pro,12 Feb 2024
Safari 17.3.1This update has no published CVE entries.,macOS Monterey and macOS Ventura,09 Feb 2024
iOS 17.3.1 and iPadOS 17.3.1This update has no published CVE entries.,"iPhone XS and later, iPad Pro 12.9-inch 2nd generation and later, iPad Pro 10.5-inch, iPad Pro 11-inch 1st generation and later, iPad Air 3rd generation and later, iPad 6th generation and later, and iPad mini 5th generation and later",08 Feb 2024
macOS Sonoma 14.3.1This update has no published CVE entries.,macOS Sonoma,08 Feb 2024
watchOS 10.3.1This update has no published CVE entries.,Apple Watch Series 4 and later,08 Feb 2024
visionOS 1.0.2,Apple Vision Pro,31 Jan 2024
Safari 17.3,macOS Monterey and macOS Ventura,22 Jan 2024
iOS 17.3 and iPadOS 17.3,"iPhone XS and later, iPad Pro 12.9-inch 2nd generation and later, iPad Pro 10.5-inch, iPad Pro 11-inch 1st generation and later, iPad Air 3rd generation and later, iPad 6th generation and later, and iPad mini 5th generation and later",22 Jan 2024
iOS 16.7.5 and iPadOS 16.7.5,"iPhone 8, iPhone 8 Plus, iPhone X, iPad 5th generation, iPad Pro 9.7-inch, and iPad Pro 12.9-inch 1st generation",22 Jan 2024
iOS 15.8.1 and iPadOS 15.8.1,"iPhone 6s (all models), iPhone 7 (all models), iPhone SE (1st generation), iPad Air 2, iPad mini (4th generation), and iPod touch (7th generation)",22 Jan 2024
macOS Sonoma 14.3,macOS Sonoma,22 Jan 2024
macOS Ventura 13.6.4,macOS Ventura,22 Jan 2024
macOS Monterey 12.7.3,macOS Monterey,22 Jan 2024
watchOS 10.3,Apple Watch Series 4 and later,22 Jan 2024
tvOS 17.3,Apple TV HD and Apple TV 4K (all models),22 Jan 2024
Magic Keyboard Firmware Update 2.0.6,Magic Keyboard; Magic Keyboard (2021); Magic Keyboard with Numeric Keypad; Magic Keyboard with Touch ID; and Magic Keyboard with Touch ID and Numeric Keypad,09 Jan 2024
