Advisory,Advisory ID,Published Date,Updated Date
Intel® Server Board Onboard Video Driver Advisory,INTEL-SA-00962,"May 14, 2024","May 14, 2024"
Intel® Graphics Command Center Service Software Advisory,INTEL-SA-00937,"May 14, 2024","May 14, 2024"
Intel® Media SDK and Intel® oneVPL Software Advisory,INTEL-SA-00935,"May 14, 2024","May 14, 2024"
Intel® Thunderbolt Driver Advisory,INTEL-SA-00916,"May 14, 2024","May 14, 2024"
Intel® GPA Software Advisory,INTEL-SA-00831,"May 14, 2024","May 14, 2024"
Intel® BIOS Guard and PPAM Firmware Advisory,INTEL-SA-00814,"May 14, 2024","May 14, 2024"
Intel® Ethernet Adapters and Intel® Ethernet Controller I225 Advisory,INTEL-SA-00756,"May 14, 2024","May 14, 2024"
2024.1 IPU OOB - Intel® Xeon® D Processor Advisory,INTEL-SA-01045,"March 12, 2024","March 12, 2024"
Intel® 4th Gen Intel® Xeon® Processor Advisory,INTEL-SA-00986,"March 12, 2024","March 12, 2024"
2024.1 IPU - Intel® Processor Return Predictions Advisory,INTEL-SA-00982,"March 12, 2024","March 12, 2024"
2024.1 IPU - Intel® Processor Bus Lock Advisory,INTEL-SA-00972,"March 12, 2024","March 12, 2024"
2024.1 IPU - Intel® Xeon® Processor Advisory,INTEL-SA-00960,"August 19, 2024","March 12, 2024"
2024.1 IPU - BIOS Advisory,INTEL-SA-00929,"March 12, 2024","March 12, 2024"
2024.1 IPU - Intel® Chipset Software and SPS Advisory,INTEL-SA-00923,"March 12, 2024","March 12, 2024"
2024.1 IPU - Intel® Atom® Processor Advisory,INTEL-SA-00898,"March 12, 2024","March 12, 2024"
Intel® SGX DCAP Software Advisory,INTEL-SA-01014,"February 13, 2024","February 13, 2024"
Intel® SSU Software Advisory,INTEL-SA-01011,"February 13, 2024","February 13, 2024"
Intel® Unison™ Software Advisory,INTEL-SA-01006,"February 13, 2024","February 13, 2024"
Intel® MPI Library Software Advisory,INTEL-SA-01005,"February 13, 2024","February 13, 2024"
Intel® SUR for Gameplay Software Advisory,INTEL-SA-01004,"February 13, 2024","February 13, 2024"
Intel® SPS Firmware Advisory,INTEL-SA-01003,"February 13, 2024","February 13, 2024"
Intel® QAT Software Drivers Advisory,INTEL-SA-01000,"February 13, 2024","February 13, 2024"
Intel® SUR Advisory,INTEL-SA-00998,"February 13, 2024","February 13, 2024"
Intel® ISPC Software Advisory,INTEL-SA-00994,"February 13, 2024","February 13, 2024"
Intel® Ethernet Tools and Driver Install Software Advisory,INTEL-SA-00993,"February 13, 2024","February 13, 2024"
Intel® SDK for OpenCL™ Applications Software Advisory,INTEL-SA-00992,"February 13, 2024","February 13, 2024"
Intel® oneAPI Toolkit Software Advisory,INTEL-SA-00988,"March 27, 2024","February 13, 2024"
Intel®  Battery Life Diagnostic Tool Software Advisory,INTEL-SA-00987,"February 13, 2024","February 13, 2024"
Intel® Unite® Software Advisory,INTEL-SA-00981,"February 13, 2024","February 13, 2024"
Intel® QSFP+ Configuration Utility Software Advisory,INTEL-SA-00974,"February 13, 2024","February 13, 2024"
Intel® Binary Configuration Tool Software Advisory,INTEL-SA-00973,"February 13, 2024","February 13, 2024"
Intel® DSA Software Advisory,INTEL-SA-00969,"February 13, 2024","February 13, 2024"
Intel® MAS Software Advisory,INTEL-SA-00967,"February 13, 2024","February 13, 2024"
Intel® CIP Software Advisory,INTEL-SA-00959,"February 13, 2024","February 13, 2024"
Intel® PM Software Advisory,INTEL-SA-00958,"February 13, 2024","February 13, 2024"
Intel® oneAPI Software Installers Advisory,INTEL-SA-00956,"February 13, 2024","February 13, 2024"
Intel® XTU Software Advisory,INTEL-SA-00955,"February 13, 2024","February 13, 2024"
Intel® PCM Software Advisory,INTEL-SA-00954,"February 13, 2024","February 13, 2024"
Intel® VROC Software Advisory,INTEL-SA-00953,"June 6, 2024","February 13, 2024"
Intel® Optane™ PMem Management Software Advisory,INTEL-SA-00948,"February 13, 2024","February 13, 2024"
Intel® PROSet/Wireless and Intel® KillerTM Wi-Fi Software Advisory,INTEL-SA-00947,"February 13, 2024","February 13, 2024"
Arm DS for Intel® SoC FPGA Software Advisory,INTEL-SA-00930,"March 14, 2024","February 13, 2024"
Intel® Chipset Driver Software Advisory,INTEL-SA-00928,"March 18, 2024","February 13, 2024"
Intel® OFU Software Advisory,INTEL-SA-00927,"February 13, 2024","February 13, 2024"
Intel® Server OpenBMC Firmware Advisory,INTEL-SA-00922,"February 13, 2024","February 13, 2024"
ACAT Software Advisory,INTEL-SA-00913,"February 13, 2024","February 13, 2024"
Intel® Optimization for TensorFlow Advisory,INTEL-SA-00903,"February 13, 2024","February 13, 2024"
Intel® Thunderbolt™ Controller Advisory,INTEL-SA-00895,"February 13, 2024","February 13, 2024"
Intel® ThunderboltTM DCH Drivers for Windows Advisory,INTEL-SA-00851,"February 13, 2024","February 13, 2024"
Intel® NUC Advisory,INTEL-SA-01028,"January 9, 2024","January 9, 2024"
Intel® NUC BIOS Firmware Advisory,INTEL-SA-01009,"January 9, 2024","January 9, 2024"
Intel® NUC Software Advisory,INTEL-SA-00964,"February 28, 2024","January 9, 2024"
Intel® NUC Firmware Advisory,INTEL-SA-01001,"November 14, 2023","November 14, 2023"
Intel® Support Android App Advisory,INTEL-SA-00976,"November 14, 2023","November 14, 2023"
